date,symbol,price,eps,book_value,sales,dividend,market_cap,debt,cash,ebitda
2025-08-21,601318.SH,56.92,3.87,52.13003439435406,0.0,1.1273748401717283,1030686982355.4,12166459000000.0,698260000000.0,81656400000.0
2025-08-22,601318.SH,57.8,3.87,52.13003439435406,0.0,1.1273748401717283,1046621707311.0,12166459000000.0,698260000000.0,81656400000.0
2025-08-25,601318.SH,58.3,3.87,52.13003439435406,0.0,1.1273748401717283,1055675528308.5,12166459000000.0,698260000000.0,81656400000.0
2025-08-26,601318.SH,57.82,3.87,52.13003439435406,0.0,1.1273748401717283,1046983860150.9,12166459000000.0,698260000000.0,81656400000.0
2025-08-27,601318.SH,55.989999999999995,3.87,52.13003439435406,0.0,1.1273748401717283,1013846875300.0499,12166459000000.0,698260000000.0,81656400000.0
2025-08-28,601318.SH,56.14,3.87,52.13003439435406,0.0,1.1273748401717283,1016563021599.3,12166459000000.0,698260000000.0,81656400000.0
2025-08-29,601318.SH,57.17999999999999,3.87,52.13003439435406,0.0,1.1273748401717283,1035394969274.0999,12166459000000.0,698260000000.0,81656400000.0
2025-09-01,601318.SH,55.809999999999995,3.87,52.13003439435406,0.0,1.1273748401717283,1010587499740.95,12166459000000.0,698260000000.0,81656400000.0
2025-09-02,601318.SH,55.959999999999994,3.87,52.13003439435406,0.0,1.1273748401717283,1013303646040.1998,12166459000000.0,698260000000.0,81656400000.0
2025-09-03,601318.SH,55.08,3.87,52.13003439435406,0.0,1.1273748401717283,997368921084.6,12166459000000.0,698260000000.0,81656400000.0
2025-09-04,601318.SH,54.8,3.87,52.13003439435406,0.0,1.1273748401717283,992298781326.0,12166459000000.0,698260000000.0,81656400000.0
2025-09-05,601318.SH,55.199999999999996,3.87,52.13003439435406,0.0,1.1273748401717283,999541838123.9999,12166459000000.0,698260000000.0,81656400000.0
2025-09-08,601318.SH,55.0,3.87,52.13003439435406,0.0,1.1273748401717283,995920309725.0,12166459000000.0,698260000000.0,81656400000.0
2025-09-09,601318.SH,55.300000000000004,3.87,52.13003439435406,0.0,1.1273748401717283,1001352602323.5001,12166459000000.0,698260000000.0,81656400000.0
2025-09-10,601318.SH,55.17,3.87,52.13003439435406,0.0,1.1273748401717283,998998608864.15,12166459000000.0,698260000000.0,81656400000.0
2025-09-11,601318.SH,55.99,3.87,52.13003439435406,0.0,1.1273748401717283,1013846875300.05,12166459000000.0,698260000000.0,81656400000.0
2025-09-12,601318.SH,54.98,3.87,52.13003439435406,0.0,1.1273748401717283,995558156885.1,12166459000000.0,698260000000.0,81656400000.0
2025-09-15,601318.SH,54.63,3.87,52.13003439435406,0.0,1.1273748401717283,989220482186.8501,12166459000000.0,698260000000.0,81656400000.0
2025-09-16,601318.SH,53.919999999999995,3.87,52.13003439435406,0.0,1.1273748401717283,976364056370.3999,12166459000000.0,698260000000.0,81656400000.0
2025-09-17,601318.SH,53.87,3.87,52.13003439435406,0.0,1.1273748401717283,975458674270.6499,12166459000000.0,698260000000.0,81656400000.0
2025-09-18,601318.SH,52.58,3.87,52.13003439435406,0.0,1.1273748401717283,952099816097.1,12166459000000.0,698260000000.0,81656400000.0
